Journal Name,中科院分区,小类,JCR,Impact Factor,Reference Link,其他
IEEE Transactions on Intelligent Transportation Systems,工程技术 1区,土木/运输科技/电子电气,Q1,8.5,https://ieeexplore.ieee.org/xpl/topAccessedArticles.jsp?punumber=6979,
Transportation Research Part C: Emerging Technologies,工程技术 1区,运输科技,Q1,8.3,https://www.sciencedirect.com/journal/transportation-research-part-c-emerging-technologies,
IEEE Transactions on Intelligent Vehicles,工程技术 2区,人工智能/电子与电气/运输科技,Q1,8.2,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=7274857,
IEEE Transactions on Transportation Electrification,工程技术 1区Top,电子与电气/运输科技,Q1,7,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6687316,
IEEE Transactions on Vehicular Technology,计算机科学 2区Top,电子与电气/电信/运输技术,Q1,6.5,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=25,
Transportation Research Part D: Transport and Environment,工程技术 2区,环境研究/交通运输/运输科技,Q1,7.6,https://www.sciencedirect.com/journal/transportation-research-part-d-transport-and-environment,
IEEE Intelligent Transportation Systems Magazine,工程技术 2区,电子与电气/运输科技,Q2,3.6,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?reload=true&punumber=5117645,
Computers & Industrial Engineering,工程技术 2区,跨学科应用/工业,Q1,7.9,https://www.sciencedirect.com/journal/computers-and-industrial-engineering,
Computers & Operations Research,工程技术 2区,跨学科应用/工业/运筹,Q2,4.6,https://www.sciencedirect.com/journal/computers-and-operations-research,
Journal of Intelligent Transportation Systems,工程技术 2区,交通运输/运输科技,Q2,3.6,https://www.tandfonline.com/journals/gits20,比较慢
IEEE Open Journal of Intelligent Transportation Systems,,,,2.6,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8784355,新期刊
IEEE Intelligent System,计算机科学 3 区,人工智能/电子与电气,Q1,6.4,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9670,
IEEE Robotics and Automation Letters,计算机科学 2区,机器人学,Q2,5.9,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=7083369,
Frontiers of Information Technology & Electronic Engineering,工程技术 3区,信息系统/软件工程/电子与电气,Q2,2.9,https://link.springer.com/journal/11714,
ACM Transactions on Knowledge Discovery from Data,计算机科学 3区,信息系统/软件工程,Q1,4,https://dl.acm.org/journal/tkdd,
Machine Learning,计算机科学 3区,人工智能,Q1,7.5,https://link.springer.com/journal/10994,
IEEE Open Journal of Vehicular Technology,,,,6.4,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8782711,新期刊
IET Intelligent Transport Systems,工程技术 4区,电子与电气/运输科技,Q3,2.7,https://ietresearch.onlinelibrary.wiley.com/journal/17519578,
Journal of Advanced Transportation,工程技术 4区,土木/运输科技,Q2,2.3,https://www.hindawi.com/journals/jat/,
Transportation Research Record,工程技术 4区,土木/运输科技,Q2,1.9,https://journals.sagepub.com/home/TRR,
Expert Systems with Applications,计算机科学 1区Top,人工智能/电子与电气/运筹与管理,Q1,8.5,https://www.sciencedirect.com/journal/expert-systems-with-applications,
Advanced Engineering Informatics,工程技术 1区Top,综合/人工智能,Q1,8.8,https://www.sciencedirect.com/journal/advanced-engineering-informatics,
Engineering Applications of Artificial Intelligence,计算机科学 2区Top,综合/自动化与控制系统,Q1,8,https://www.sciencedirect.com/journal/engineering-applications-of-artificial-intelligence,评价还可以
Physica A: Statistical Mechanics and its Applications,物理和天体物理 2区,综合,Q2,3.3,https://www.sciencedirect.com/journal/physica-a-statistical-mechanics-and-its-applications,
Journal of Computer Science and Technology,计算机科学 3区,硬件/软件工程,Q3,1.9,https://link.springer.com/journal/11390,
IEEE Transactions on Artificial Intelligence,,,,4.9,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9078688,
IEEE Transactions on Big Data,计算机科学 2区,信息系统/理论方法,,,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6687317,
Big Data Mining and Analytics,,,,13.6,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8254253,"新期刊, 但是影响因子很高"
IEEE Open Journal of the Computer Society,,,,7.9,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8782661,
IEEE Open Journal of Control Systems,,,,,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9552933,
IEEE Transactions on Emerging Topics in Computational Intelligence,计算机科学 2区,人工智能,Q2,5.3,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=7433297,
Journal of Intelligent and Connected Vehicles,,,,,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9944931,
IEEE Transactions on Machine Learning in Communications and Networking,,,,,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9882533,2023 年新期刊
IEEE Open Access Journal of Power and Energy,,,,,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8784343,
IEEE Journal of Selected Areas in Sensors,,,,,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=10057477,2024 年才可以投稿
Transportmetrica A-Transport Science,工程技术 2区,交通运输/运输科技,Q2,3.5,https://www.tandfonline.com/journals/ttra21,
International Journal of Sustainable Transportation,工程技术 3区,环境研究/绿色可持续发展技术/交通运输,Q2,4.4,https://www.tandfonline.com/journals/ujst20,
Communications in Transportation Research,,交通运输,,,https://www.sciencedirect.com/journal/communications-in-transportation-research/issues,2021年建刊
